公司名稱,公司簡稱
台灣水泥股份有限公司,台泥
亞洲水泥股份有限公司,亞泥
嘉新水泥股份有限公司,嘉泥
環球水泥股份有限公司,環泥
幸福水泥股份有限公司,幸福
信大水泥股份有限公司,信大
東南水泥股份有限公司,東泥
味全食品工業股份有限公司,味全
味王股份有限公司,味王
大成長城企業股份有限公司,大成
大西洋飲料股份有限公司,大飲
台灣卜蜂企業股份有限公司,卜蜂
統一企業股份有限公司,統一
愛之味股份有限公司,愛之味
泰山企業股份有限公司,泰山
福壽實業股份有限公司,福壽
台榮產業股份有限公司,台榮
福懋油脂股份有限公司,福懋油
佳格食品股份有限公司,佳格
聯華實業投資控股股份有限公司,聯華
聯華食品工業股份有限公司,聯華食
大統益股份有限公司,大統益
天仁茶業股份有限公司,天仁
黑松股份有限公司,黑松
興泰實業股份有限公司,興泰
宏亞食品股份有限公司,宏亞
鮮活控股股份有限公司,鮮活果汁-KY
台灣塑膠工業股份有限公司,台塑
南亞塑膠工業股份有限公司,南亞
台灣聚合化學品股份有限公司,台聚
華夏海灣塑膠股份有限公司,華夏
三芳化學工業股份有限公司,三芳
亞洲聚合股份有限公司,亞聚
台達化學工業股份有限公司,台達化
台灣苯乙烯工業股份有限公司,台苯
國喬石油化學股份有限公司,國喬
聯成化學科技股份有限公司,聯成
中國石油化學工業開發(股)公司,中石化
達新工業股份有限公司,達新
上曜建設開發股份有限公司,上曜
東陽實業廠股份有限公司,東陽
大洋塑膠工業股份有限公司,大洋
永裕塑膠工業股份有限公司,永裕
地球綜合工業股份有限公司,地球
恒大股份有限公司,恆大
台灣化學纖維股份有限公司,台化
亞洲塑膠再生資源控股有限公司,再生-KY
廣華控股有限公司,廣華-KY
昭輝實業股份有限公司,昭輝
勝悅新材料有限公司,勝悅-KY
富林塑膠工業(開曼)控股(股)公司,富林-KY
八貫企業股份有限公司,八貫
遠東新世紀股份有限公司,遠東新
新光合成纖維股份有限公司,新纖
南洋染整股份有限公司,南染
宏洲纖維工業股份有限公司,宏洲
東和紡織股份有限公司,東和
廣豐實業股份有限公司,廣豐
嘉裕股份有限公司,嘉裕
東華合纖股份有限公司,東華
新光紡織股份有限公司,新紡
利華羊毛工業股份有限公司,利華
大魯閣實業股份有限公司,大魯閣
福懋興業股份有限公司,福懋
中福國際(股)公司,中福
華友聯開發股份有限公司(原福益),華友聯
勤益投資控股股份有限公司,勤益控
三地開發地產股份有限公司,三地開發
中和羊毛工業股份有限公司,中和
臺南紡織股份有限公司,南紡
大東紡織股份有限公司,大東
名軒開發股份有限公司,名軒
立益紡織股份有限公司,立益
力麗企業股份有限公司,力麗
大宇紡織股份有限公司,大宇
宏和精密紡織股份有限公司,宏和
力鵬企業股份有限公司,力鵬
佳和實業股份有限公司,佳和
年興紡織股份有限公司,年興
宏益纖維工業股份有限公司,宏益
大將開發股份有限公司,大將
台灣富綢纖維股份有限公司,台富
集盛實業股份有限公司,集盛
怡華實業股份有限公司,怡華
宜進實業股份有限公司,宜進
聯發紡織纖維股份有限公司,聯發
宏遠興業股份有限公司,宏遠
強盛染整股份有限公司,強盛
得力實業股份有限公司,得力
偉全實業股份有限公司,偉全
聚隆纖維股份有限公司,聚隆
南緯實業股份有限公司,南緯
昶和纖維興業股份有限公司,昶和
大統新創股份有限公司,大統新創
首利實業股份有限公司,首利
三洋實業股份有限公司,三洋實業
台南企業股份有限公司,台南
弘裕企業股份有限公司,弘裕
台灣業旺股份有限公司,業旺
儒鴻企業股份有限公司,儒鴻
聚陽實業股份有限公司,聚陽
士林電機廠股份有限公司,士電
東元電機股份有限公司,東元
正道工業股份有限公司,正道
瑞利企業股份有限公司,瑞利
中興電工機械股份有限公司,中興電
亞力電機股份有限公司,亞力
力山工業股份有限公司,力山
川飛能源股份有限公司,川飛
利奇機械工業股份有限公司,利奇
華城電機股份有限公司,華城
大億交通工業製造股份有限公司,大億
堤維西交通工業股份有限公司,堤維西
耿鼎企業股份有限公司,耿鼎
江申工業股份有限公司,江申
日馳企業股份有限公司,日馳
鑽全實業股份有限公司,鑽全
恩德科技股份有限公司,恩德
樂士股份有限公司,樂士
亞崴機電股份有限公司,亞崴
高林股份有限公司,高林股
勤美股份有限公司,勤美
車王電子股份有限公司,車王電
中宇環保工程股份有限公司,中宇
和大工業股份有限公司,和大
廣隆光電科技股份有限公司,廣隆
正峰工業股份有限公司,正峰
巨庭機械股份有限公司,巨庭
喬福機械工業股份有限公司,喬福
錩泰工業股份有限公司,錩泰
伸興工業股份有限公司,伸興
中國砂輪企業股份有限公司,中砂
倉佑實業股份有限公司,倉佑
信錦企業股份有限公司,信錦
程泰機械股份有限公司,程泰
吉茂精密股份有限公司,吉茂
永冠能源科技集團有限公司,永冠-KY
亞德客國際集團,亞德客-KY
直得科技股份有限公司,直得
岱宇國際股份有限公司,岱宇
中華電線電纜股份有限公司,華電
聲寶股份有限公司,聲寶
華新麗華股份有限公司,華新
華榮電線電纜股份有限公司,華榮
大亞電線電纜股份有限公司,大亞
中國電器股份有限公司,中電
宏泰電工股份有限公司,宏泰
台灣三洋電機股份有限公司,三洋電
大山電線電纜股份有限公司,大山
億泰電線電纜股份有限公司,億泰
榮星電線工業股份有限公司,榮星
合機電線電纜股份有限公司,合機
艾美特(開曼)國際有限公司,艾美特-KY
中國化學製藥股份有限公司,中化
南僑投資控股股份有限公司,南僑
葡萄王生技股份有限公司,葡萄王
東南實業股份有限公司,東鹼
和益化學工業股份有限公司,和益
東聯化學股份有限公司,東聯
臺灣永光化學工業股份有限公司,永光
興農股份有限公司,興農
國泰化工廠股份有限公司,國化
和桐化學股份有限公司,和桐
長興材料工業股份有限公司,長興
中國人造纖維股份有限公司,中纖
生達化學製藥股份有限公司,生達
三晃股份有限公司,三晃
台灣肥料股份有限公司,台肥
中鋼碳素化學股份有限公司,中碳
